code,regency_code,name
11.06.23,1106,Blang Bintang
11.07.03,1107,Batee
11.07.04,1107,Delima
11.07.05,1107,Geumpang
11.07.06,1107,Glumpang Tiga
11.07.07,1107,Indrajaya
11.07.08,1107,Kembang Tanjong
11.07.09,1107,Kota Sigli
11.07.11,1107,Mila
11.07.12,1107,Muara Tiga
11.07.13,1107,Mutiara
11.07.14,1107,Padang Tiji
11.07.15,1107,Peukan Baro
11.07.16,1107,Pidie
11.07.17,1107,Sakti
11.07.18,1107,Simpang Tiga
11.07.19,1107,Tangse
11.07.21,1107,Tiro/Truseb
11.07.22,1107,Keumala
11.07.24,1107,Mutiara Timur
11.07.25,1107,Grong-grong
11.07.27,1107,Mane
11.07.29,1107,Glumpang Baro
11.07.31,1107,Titeue
11.08.01,1108,Baktiya
11.08.02,1108,Dewantara
11.08.03,1108,Kuta Makmur
11.08.04,1108,Lhoksukon
11.08.05,1108,Matangkuli
11.08.06,1108,Muara Batu
11.08.07,1108,Meurah Mulia
11.08.08,1108,Samudera
11.08.09,1108,Seunuddon
11.08.10,1108,Syamtalira Aron
11.08.11,1108,Syamtalira Bayu
11.08.12,1108,Tanah Luas
11.08.13,1108,Tanah Pasir
11.08.14,1108,T. Jambo Aye
11.08.15,1108,Sawang
11.08.16,1108,Nisam
11.08.17,1108,Cot Girek
11.08.18,1108,Langkahan
11.08.19,1108,Baktiya Barat
11.08.20,1108,Paya Bakong
11.08.21,1108,Nibong
11.08.22,1108,Simpang Kramat
11.08.23,1108,Lapang
11.08.24,1108,Pirak Timur
11.08.25,1108,Geuredong Pase
11.08.26,1108,Banda Baro
11.08.27,1108,Nisam Antara
11.09.01,1109,Simeulue Tengah
11.09.02,1109,Salang
11.09.03,1109,Teupah Barat
11.09.04,1109,Simeulue Timur
11.09.05,1109,Teluk Dalam
11.09.06,1109,Simeulue Barat
11.09.07,1109,Teupah Selatan
11.09.08,1109,Alafan
11.09.09,1109,Teupah Tengah
11.09.10,1109,Simeulue Cut
11.10.01,1110,Pulau Banyak
11.10.02,1110,Simpang Kanan
11.10.04,1110,Singkil
11.10.06,1110,Gunung Meriah
11.10.09,1110,Kota Baharu
11.10.10,1110,Singkil Utara
11.10.11,1110,Danau Paris
11.10.12,1110,Suro Makmur
11.10.13,1110,Singkohor
11.10.14,1110,Kuala Baru
11.10.16,1110,Pulau Banyak Barat
11.11.01,1111,Samalanga
11.11.02,1111,Jeunieb
11.11.03,1111,Peudada
11.11.04,1111,Jeumpa
11.11.05,1111,Peusangan
11.11.06,1111,Makmur
11.11.07,1111,Gandapura
11.11.08,1111,Pandrah
11.11.09,1111,Juli
11.11.10,1111,Jangka
11.11.11,1111,Simpang Mamplam
11.11.12,1111,Peulimbang
11.11.13,1111,Kota Juang
11.11.14,1111,Kuala
11.11.15,1111,Peusangan Siblah Krueng
11.11.16,1111,Peusangan Selatan
11.11.17,1111,Kuta Blang
11.12.01,1112,Blangpidie
11.12.02,1112,Tangan-Tangan
11.12.03,1112,Manggeng
11.12.04,1112,Susoh
11.12.05,1112,Kuala Batee
11.12.06,1112,Babah Rot
11.12.07,1112,Setia
11.12.08,1112,Jeumpa
11.12.09,1112,Lembah Sabil
11.13.01,1113,Blangkejeren
11.13.02,1113,Kutapanjang
11.13.03,1113,Rikit Gaib
11.13.04,1113,Terangun
11.13.05,1113,Pining
11.13.06,1113,Blangpegayon
11.13.07,1113,Puteri Betung
11.13.08,1113,Dabun Gelang
11.13.09,1113,Blangjerango
11.13.10,1113,Teripe Jaya
11.13.11,1113,Pantan Cuaca
11.14.01,1114,Teunom
11.14.02,1114,Krueng Sabee
11.14.03,1114,Setia Bakti
11.14.04,1114,Sampoi Niet
11.14.05,1114,Jaya
11.14.06,1114,Panga
11.14.07,1114,Indra Jaya
11.14.08,1114,Darul Hikmah
11.14.09,1114,Pasie Raya
11.15.01,1115,Kuala
11.15.02,1115,Seunagan
11.15.03,1115,Seunagan Timur
11.15.04,1115,Beutong
11.15.05,1115,Darul Makmur
11.15.06,1115,Suka Makmue
11.15.07,1115,Kuala Pesisir
11.15.08,1115,Tadu Raya
11.15.09,1115,Tripa Makmur
11.15.10,1115,Beutong Ateuh Banggalang
11.16.01,1116,Manyak Payed
11.16.02,1116,Bendahara
11.16.03,1116,Karang Baru
11.16.04,1116,Seruway
11.16.05,1116,Kota Kualasinpang
11.16.06,1116,Kejuruan Muda
11.16.07,1116,Tamiang Hulu
11.16.08,1116,Rantau
11.16.09,1116,Banda Mulia
11.16.10,1116,Bandar Pusaka
11.16.11,1116,Tenggulun
11.16.12,1116,Sekerak
11.17.01,1117,Pintu Rime Gayo
11.17.02,1117,Permata
11.17.03,1117,Syiah Utama
11.17.04,1117,Bandar
11.17.05,1117,Bukit
11.17.06,1117,Wih Pesam
11.17.07,1117,Timang gajah
11.17.08,1117,Bener Kelipah
11.17.09,1117,Mesidah
11.17.10,1117,Gajah Putih
11.18.01,1118,Meureudu
11.18.02,1118,Ulim
11.18.03,1118,Jangka Buya
11.18.04,1118,Bandar Dua
11.18.05,1118,Meurah Dua
11.18.06,1118,Bandar Baru
11.18.07,1118,Panteraja
11.18.08,1118,Trienggadeng
11.71.01,1171,Baiturrahman
11.71.02,1171,Kuta Alam
11.71.03,1171,Meuraxa
11.71.04,1171,Syiah Kuala
11.71.05,1171,Lueng Bata
11.71.06,1171,Kuta Raja
11.71.07,1171,Banda Raya
11.71.08,1171,Jaya Baru
11.71.09,1171,Ulee Kareng
11.72.01,1172,Sukakarya
11.72.02,1172,Sukajaya
11.72.03,1172,Sukamakmue
11.73.01,1173,Muara Dua
11.73.02,1173,Banda Sakti
11.73.03,1173,Blang Mangat
11.73.04,1173,Muara Satu
11.74.01,1174,Langsa Timur
11.74.02,1174,Langsa Barat
11.74.03,1174,Langsa Kota
11.74.04,1174,Langsa Lama
11.74.05,1174,Langsa Baro
11.75.01,1175,Simpang Kiri
11.75.02,1175,Penanggalan
11.75.03,1175,Rundeng
11.75.04,1175,Sultan Daulat
11.75.05,1175,Longkib
12.01.01,1201,Barus
12.01.02,1201,Sorkam
12.01.03,1201,Pandan
12.01.04,1201,Pinangsori
12.01.05,1201,Manduamas
12.01.06,1201,Kolang
12.01.07,1201,Tapian Nauli
12.01.08,1201,Sibabangun
12.01.09,1201,Sosorgadong
12.01.10,1201,Sorkam Barat
12.01.11,1201,Sirandorung
12.01.12,1201,Andam Dewi
12.01.13,1201,Sitahuis
12.01.14,1201,Tukka
12.01.15,1201,Badiri
12.01.16,1201,Pasaribu Tobing
12.01.17,1201,Barus Utara
12.01.18,1201,Suka Bangun
12.01.19,1201,Lumut
12.01.20,1201,Sarudik
12.02.01,1202,Tarutung
12.02.02,1202,Siatas Barita
12.02.03,1202,Adian Koting
12.02.04,1202,Sipoholon
12.02.05,1202,Pahae Julu
12.02.06,1202,Pahae Jae
12.02.07,1202,Simangumban
12.02.08,1202,Purba Tua
12.02.09,1202,Siborong-Borong
12.02.10,1202,Pagaran
12.02.11,1202,Parmonangan
12.02.12,1202,Sipahutar
12.02.13,1202,Pangaribuan
12.02.14,1202,Garoga
12.02.15,1202,Muara
12.03.01,1203,Angkola Barat
12.03.02,1203,Batang Toru
12.03.03,1203,Angkola Timur
12.03.04,1203,Sipirok
12.03.05,1203,Saipar Dolok Hole
12.03.06,1203,Angkola Selatan
12.03.07,1203,Batang Angkola
12.03.14,1203,Arse
12.03.20,1203,Marancar
12.03.21,1203,Sayur Matinggi
12.03.22,1203,Aek Bilah
12.03.29,1203,Muara Batang Toru
12.03.30,1203,Tano Tombangan Angkola
12.03.31,1203,Angkola Sangkunur
12.03.32,1203,Angkola Muara Tais
12.04.05,1204,Hiliduho
12.04.06,1204,Gido
12.04.10,1204,Idanogawo
12.04.11,1204,Bawolato
12.04.20,1204,Hiliserangkai
12.04.21,1204,Botomuzoi
12.04.27,1204,Ulugawo
12.04.28,1204,Ma'u
12.04.29,1204,Somolo-molo
12.04.35,1204,Sogae'adu
12.05.01,1205,Bahorok
12.05.02,1205,Salapian
12.05.03,1205,Kuala
12.05.04,1205,Sei Bingai
12.05.05,1205,Binjai
12.05.06,1205,Selesai
12.05.07,1205,Stabat
12.05.08,1205,Wampu
12.05.09,1205,Secanggang
12.05.10,1205,Hinai
12.05.11,1205,Tanjung Pura
12.05.12,1205,Padang Tualang
12.05.13,1205,Gebang
12.05.14,1205,Babalan
12.05.15,1205,Pangkalan Susu
12.05.16,1205,Besitang
12.05.17,1205,Sei Lepan
12.05.18,1205,Berandan Barat
12.05.19,1205,Batang Serangan
12.05.20,1205,Sawit Seberang
12.05.21,1205,Sirapit
12.05.22,1205,Kutambaru
12.05.23,1205,Pematang Jaya
12.06.01,1206,Kabanjahe
12.06.02,1206,Berastagi
12.06.03,1206,Barusjahe
12.06.04,1206,Tigapanah
12.06.05,1206,Merek
12.06.06,1206,Munte
12.06.07,1206,Juhar
12.06.08,1206,Tigabinanga
12.06.09,1206,Laubaleng
12.06.10,1206,Mardingding
12.06.11,1206,Payung
12.06.12,1206,Simpang Empat
12.06.13,1206,Kutabuluh
12.06.14,1206,Dolat Rayat
12.06.15,1206,Merdeka
12.06.16,1206,Naman Teran
12.06.17,1206,Tiganderket
12.07.01,1207,Gunung Meriah
12.07.02,1207,Tanjung Morawa
12.07.03,1207,Sibolangit
12.07.04,1207,Kutalimbaru
12.07.05,1207,Pancur Batu
12.07.06,1207,Namo Rambe
12.07.07,1207,Biru-Biru
12.07.08,1207,STM Hilir
12.07.09,1207,Bangun Purba
12.07.19,1207,Galang
12.07.20,1207,STM Hulu
12.07.21,1207,Patumbak
12.07.22,1207,Deli Tua
12.07.23,1207,Sunggal
12.07.24,1207,Hamparan Perak
12.07.25,1207,Labuhan Deli
12.07.26,1207,Percut Sei Tuan
12.07.27,1207,Batang Kuis
12.07.28,1207,Lubuk Pakam
12.07.31,1207,Pagar Merbau
12.07.32,1207,Pantai Labu
12.07.33,1207,Beringin
12.08.01,1208,Siantar
12.08.02,1208,Gunung Malela
12.08.03,1208,Gunung Maligas
12.08.04,1208,Panei
12.08.05,1208,Panombeian Panei
12.08.06,1208,Jorlang Hataran
12.08.07,1208,Raya Kahean
12.08.08,1208,Bosar Maligas
12.08.09,1208,Sidamanik
12.08.10,1208,Pamatang Sidamanik
12.08.11,1208,Tanah Jawa
12.08.12,1208,Hatonduhan
12.08.13,1208,Dolok Panribuan
12.08.14,1208,Purba
12.08.15,1208,Haranggaol Horisan
12.08.16,1208,Girsang Sipangan Bolon
12.08.17,1208,Dolok Batu Nanggar
12.08.18,1208,Huta Bayu Raja
12.08.19,1208,Jawa Maraja Bah Jambi
12.08.20,1208,Dolok Pardamean
12.08.21,1208,Pematang Bandar
12.08.22,1208,Bandar Huluan
12.08.23,1208,Bandar
12.08.24,1208,Bandar Masilam
12.08.25,1208,Silimakuta
12.08.26,1208,Dolok Silou
12.08.27,1208,Silou Kahean
12.08.28,1208,Tapian Dolok
12.08.29,1208,Raya
12.08.30,1208,Ujung Padang
12.08.31,1208,Pamatang Silima Huta
12.08.32,1208,Dolog Masagal
12.09.08,1209,Meranti
12.09.09,1209,Air Joman
12.09.10,1209,Tanjung Balai
12.09.11,1209,Sei Kepayang
12.09.12,1209,Simpang Empat
12.09.13,1209,Air Batu
12.09.14,1209,Pulau Rakyat
12.09.15,1209,Bandar Pulau
12.09.16,1209,Buntu Pane
12.09.17,1209,Bandar Pasir Mandoge
12.09.18,1209,Aek Kuasan
12.09.19,1209,Kota Kisaran Barat
12.09.20,1209,Kota Kisaran Timur
12.09.21,1209,Aek Songsongan
12.09.22,1209,Rahuning
12.09.23,1209,Sei Dadap
12.09.24,1209,Sei Kepayang Barat
12.09.25,1209,Sei Kepayang Timur
12.09.26,1209,Tinggi Raja
12.09.27,1209,Setia Janji
12.09.28,1209,Silau Laut
12.09.29,1209,Rawang Panca Arga
12.09.30,1209,Pulo Bandring
12.09.31,1209,Teluk Dalam
12.09.32,1209,Aek Ledong
12.10.01,1210,Rantau Utara
12.10.02,1210,Rantau Selatan
12.10.07,1210,Bilah Barat
12.10.08,1210,Bilah Hilir
12.10.09,1210,Bilah Hulu
12.10.14,1210,Pangkatan
12.10.18,1210,Panai Tengah
12.10.19,1210,Panai Hilir
12.10.20,1210,Panai Hulu
12.11.01,1211,Sidikalang
12.11.02,1211,Sumbul
12.11.03,1211,Tigalingga
12.11.04,1211,Siempat Nempu
12.11.05,1211,Silima Pungga Pungga
12.11.06,1211,Tanah Pinem
12.11.07,1211,Siempat Nempu Hulu
12.11.08,1211,Siempat Nempu Hilir
12.11.09,1211,Pegagan Hilir
12.11.10,1211,Parbuluan
12.11.11,1211,Lae Parira
12.11.12,1211,Gunung Sitember
12.11.13,1211,Berampu
12.11.14,1211,Silahisabungan
12.11.15,1211,Sitinjo
12.12.01,1212,Balige
12.12.02,1212,Laguboti
12.12.03,1212,Silaen
12.12.04,1212,Habinsaran
12.12.05,1212,Pintu Pohan Meranti
12.12.06,1212,Borbor
12.12.07,1212,Porsea
12.12.08,1212,Ajibata
12.12.09,1212,Lumban Julu
12.12.10,1212,Uluan
12.12.19,1212,Sigumpar
12.12.20,1212,Siantar Narumonda
12.12.21,1212,Nassau
12.12.22,1212,Tampahan
12.12.23,1212,Bonatua Lunasi
12.12.24,1212,Parmaksian
12.13.01,1213,Panyabungan
12.13.02,1213,Panyabungan Utara
12.13.03,1213,Panyabungan Timur
12.13.04,1213,Panyabungan Selatan
12.13.05,1213,Panyabungan Barat
12.13.06,1213,Siabu
12.13.07,1213,Bukit Malintang
12.13.08,1213,Kotanopan
12.13.09,1213,Lembah Sorik Marapi
12.13.10,1213,Tambangan
12.13.11,1213,Ulu Pungkut
12.13.12,1213,Muara Sipongi
12.13.13,1213,Batang Natal
12.13.14,1213,Lingga Bayu
12.13.15,1213,Batahan
12.13.16,1213,Natal
12.13.17,1213,Muara Batang Gadis
12.13.18,1213,Ranto Baek
12.13.19,1213,Huta Bargot
12.13.20,1213,Puncak Sorik Marapi
12.13.21,1213,Pakantan
12.13.22,1213,Sinunukan
12.13.23,1213,Naga Juang
12.14.01,1214,Lolomatua
12.14.02,1214,Gomo
12.14.03,1214,Lahusa
12.14.04,1214,Hibala
12.14.05,1214,Pulau-Pulau Batu
12.14.06,1214,Teluk Dalam
12.14.07,1214,Amandraya
12.14.08,1214,Lolowau
12.14.09,1214,Susua
12.14.10,1214,Maniamolo
12.14.11,1214,Hilimegai
12.14.12,1214,Toma
12.14.13,1214,Mazino
12.14.14,1214,Umbunasi
12.14.15,1214,Aramo
12.14.16,1214,Pulau-Pulau Batu Timur
12.14.17,1214,Mazo
12.14.18,1214,Fanayama
12.14.19,1214,Ulunoyo
12.14.20,1214,Huruna
12.14.21,1214,O'o'u
12.14.22,1214,Onohazumba
12.14.23,1214,Hilisalawa'ahe
12.14.24,1214,Ulususua
12.14.25,1214,Sidua'ori
12.14.26,1214,Somambawa
12.14.27,1214,Boronadu
12.14.28,1214,Simuk
12.14.29,1214,Pulau-Pulau Batu Barat
12.14.30,1214,Pulau-Pulau Batu Utara
12.14.31,1214,Tanah Masa
12.14.32,1214,Luahagundre Maniamolo
12.14.33,1214,Onolalu
12.14.34,1214,Ulu Idanotae
12.14.35,1214,Idanotae
12.15.01,1215,Sitelu Tali Urang Jehe
12.15.02,1215,Kerajaan
12.15.03,1215,Salak
12.15.04,1215,Sitelu Tali Urang Julu
12.15.05,1215,Pergetteng Getteng Sengkut
12.15.06,1215,Pagindar
12.15.07,1215,Tinada
12.15.08,1215,Siempat Rube
12.16.01,1216,Parlilitan
12.16.02,1216,Pollung
12.16.03,1216,Baktiraja
12.16.04,1216,Paranginan
12.16.05,1216,Lintong Nihuta
12.16.06,1216,Dolok Sanggul
12.16.07,1216,Sijamapolang
12.16.08,1216,Onan Ganjang
12.16.09,1216,Pakkat
12.16.10,1216,Tarabintang
12.17.01,1217,Simanindo
12.17.02,1217,Onan Runggu
12.17.03,1217,Nainggolan
12.17.04,1217,Palipi
12.17.05,1217,Harian
12.17.06,1217,Sianjar Mula Mula
12.17.07,1217,Ronggur Nihuta
12.17.08,1217,Pangururan
12.17.09,1217,Sitio-tio
12.18.01,1218,Pantai Cermin
12.18.02,1218,Perbaungan
12.18.03,1218,Teluk Mengkudu
12.18.04,1218,Sei Rampah
12.18.05,1218,Tanjung Beringin
12.18.06,1218,Bandar Khalipah
12.18.07,1218,Dolok Merawan
12.18.08,1218,Sipispis
12.18.09,1218,Dolok Masihul
12.18.10,1218,Kotarih
12.18.11,1218,Silinda
12.18.12,1218,Serba Jadi
12.18.13,1218,Tebing Tinggi
12.18.14,1218,Pegajahan
12.18.15,1218,Sei Bamban
12.18.16,1218,Tebing Syahbandar
12.18.17,1218,Bintang Bayu
12.19.01,1219,Medang Deras
12.19.02,1219,Sei Suka
12.19.03,1219,Air Putih
12.19.04,1219,Lima Puluh
12.19.05,1219,Talawi
12.19.06,1219,Tanjung Tiram
12.19.07,1219,Sei Balai
12.19.08,1219,Laut Tador
12.19.09,1219,Lima Puluh Pesisir
12.19.10,1219,Datuk Lima Puluh
12.19.11,1219,Datuk Tanah Datar
12.19.12,1219,Nibung Hangus
12.20.01,1220,Dolok Sigompulon
12.20.02,1220,Dolok
12.20.03,1220,Halongonan
12.20.04,1220,Padang Bolak
12.20.05,1220,Padang Bolak Julu
12.20.06,1220,Portibi
12.20.07,1220,Batang Onang
12.20.08,1220,Simangambat
12.20.09,1220,Hulu Sihapas
12.20.10,1220,Padang Bolak Tenggara
12.20.11,1220,Halongonan Timur
12.20.12,1220,Ujung Batu
12.21.01,1221,Sosopan
12.21.02,1221,Barumun Tengah
12.21.03,1221,Huristak
12.21.04,1221,Lubuk Barumun
12.21.05,1221,Hutaraja Tinggi
12.21.06,1221,Ulu Barumun
12.21.07,1221,Barumun
12.21.08,1221,Sosa
12.21.09,1221,Batang Lubu Sutam
12.21.10,1221,Barumun Selatan
12.21.11,1221,Aek Nabara Barumun
12.21.12,1221,Sihapas Barumun
12.21.13,1221,Barumun Baru
12.21.14,1221,Ulu Sosa
12.21.15,1221,Sosa Julu
12.21.16,1221,Barumun Barat
12.21.17,1221,Sosa Timur
12.22.01,1222,Kotapinang
12.22.02,1222,Kampung Rakyat
12.22.03,1222,Torgamba
12.22.04,1222,Sungai Kanan
12.22.05,1222,Silangkitang
12.23.01,1223,Kualuh Hulu
12.23.02,1223,Kualuh Leidong
12.23.03,1223,Kualuh Hilir
12.23.04,1223,Aek Kuo
12.23.05,1223,Marbau
12.23.06,1223,Na IX - X
12.23.07,1223,Aek Natas
12.23.08,1223,Kualuh Selatan
12.24.01,1224,Lotu
12.24.02,1224,Sawo
12.24.03,1224,Tuhemberua
12.24.04,1224,Sitolu Ori
12.24.05,1224,Namohalu Esiwa
12.24.06,1224,Alasa Talumuzoi
12.24.07,1224,Alasa
12.24.08,1224,Tugala Oyo
12.24.09,1224,Afulu
12.24.10,1224,Lahewa
12.24.11,1224,Lahewa Timur
12.25.01,1225,Lahomi
12.25.02,1225,Sirombu
12.25.03,1225,Mandrehe Barat
12.25.04,1225,Moro'o
12.25.05,1225,Mandrehe
12.25.06,1225,Mandrehe Utara
12.25.07,1225,Lolofitu Moi
12.25.08,1225,Ulu Moro'o
12.71.01,1271,Medan Kota
12.71.02,1271,Medan Sunggal
12.71.03,1271,Medan Helvetia
12.71.04,1271,Medan Denai
12.71.05,1271,Medan Barat
12.71.06,1271,Medan Deli
12.71.07,1271,Medan Tuntungan
12.71.08,1271,Medan Belawan
12.71.09,1271,Medan Amplas
12.71.10,1271,Medan Area
12.71.11,1271,Medan Johor
12.71.12,1271,Medan Marelan
12.71.13,1271,Medan Labuhan
12.71.14,1271,Medan Tembung
12.71.15,1271,Medan Maimun
12.71.16,1271,Medan Polonia
12.71.17,1271,Medan Baru
12.71.18,1271,Medan Perjuangan
12.71.19,1271,Medan Petisah
12.71.20,1271,Medan Timur
12.71.21,1271,Medan Selayang
12.72.01,1272,Siantar Timur
12.72.02,1272,Siantar Barat
12.72.03,1272,Siantar Utara
12.72.04,1272,Siantar Selatan
12.72.05,1272,Siantar Marihat
12.72.06,1272,Siantar Martoba
12.72.07,1272,Siantar Sitalasari
12.72.08,1272,Siantar Marimbun
12.73.01,1273,Sibolga Utara
12.73.02,1273,Sibolga Kota
12.73.03,1273,Sibolga Selatan
12.73.04,1273,Sibolga Sambas
12.74.01,1274,Tanjungbalai Selatan
12.74.02,1274,Tanjungbalai Utara
12.74.03,1274,Sei Tualang Raso
12.74.04,1274,Teluk Nibung
12.74.05,1274,Datuk Bandar
12.74.06,1274,Datuk Bandar Timur
12.75.01,1275,Binjai Utara
12.75.02,1275,Binjai Kota
12.75.03,1275,Binjai Barat
12.75.04,1275,Binjai Timur
12.75.05,1275,Binjai Selatan
12.76.01,1276,Padang Hulu
12.76.02,1276,Rambutan
12.76.03,1276,Padang Hilir
12.76.04,1276,Bajenis
12.76.05,1276,Tebing Tinggi Kota
12.77.01,1277,Padangsidimpuan Utara
12.77.02,1277,Padangsidimpuan Selatan
12.77.03,1277,Padangsidimpuan Batunadua
12.77.04,1277,Padangsidimpuan Hutaimbaru
12.77.05,1277,Padangsidimpuan Tenggara
12.77.06,1277,Padangsidimpuan Angkola Julu
12.78.01,1278,Gunungsitoli
12.78.02,1278,Gunungsitoli Selatan
12.78.03,1278,Gunungsitoli Utara
12.78.04,1278,Gunungsitoli Idanoi
12.78.05,1278,Gunungsitoli Alo'oa
12.78.06,1278,Gunungsitoli Barat
13.01.01,1301,Pancung Soal
13.01.02,1301,Ranah Pesisir
13.01.03,1301,Lengayang
13.01.04,1301,Batang Kapas
13.01.05,1301,IV Jurai
13.01.06,1301,Bayang
13.01.07,1301,Koto XI Tarusan
13.01.08,1301,Sutera
13.01.09,1301,Linggo Sari Baganti
13.01.10,1301,Lunang
13.01.11,1301,Basa Ampek Balai Tapan
13.01.12,1301,IV Nagari Bayang Utara
13.01.13,1301,Airpura
13.01.14,1301,Ranah Ampek Hulu Tapan
13.01.15,1301,Silaut
13.02.03,1302,Pantai Cermin
13.02.04,1302,Lembah Gumanti
13.02.05,1302,Payung Sekaki
13.02.06,1302,Lembang Jaya
13.02.07,1302,Gunung Talang
13.02.08,1302,Bukit Sundi
13.02.09,1302,IX Koto Sungai Lasi
13.02.10,1302,Kubung
13.02.11,1302,X Koto Singkarak
13.02.12,1302,X Koto Diatas
13.02.13,1302,Junjung Sirih
13.02.17,1302,Hiliran Gumanti
13.02.18,1302,Tigo Lurah
13.02.19,1302,Danau Kembar
13.03.03,1303,Tanjung Gadang
13.03.04,1303,Sijunjung
13.03.05,1303,IV Nagari
13.03.06,1303,Kamang Baru
13.03.07,1303,Lubuak Tarok
13.03.08,1303,Koto VII
13.03.09,1303,Sumpur Kudus
13.03.10,1303,Kupitan
13.04.01,1304,X Koto
13.04.02,1304,Batipuh
13.04.03,1304,Rambatan
13.04.04,1304,Lima Kaum
13.04.05,1304,Tanjung Emas
13.04.06,1304,Lintau Buo
13.04.07,1304,Sungayang
13.04.08,1304,Sungai Tarab
13.04.09,1304,Pariangan
13.04.10,1304,Salimpaung
13.04.11,1304,Padang Ganting
13.04.12,1304,Tanjuang Baru
13.04.13,1304,Lintau Buo Utara
13.04.14,1304,Batipuah Selatan
13.05.01,1305,Lubuk Alung
13.05.02,1305,Batang Anai
13.05.03,1305,Nan Sabaris
13.05.04,1305,2 x 11 Enam Lingkuang
13.05.05,1305,VII Koto Sungai Sarik
13.05.06,1305,V Koto Kampung Dalam
13.05.07,1305,Sungai Garingging
13.05.08,1305,Sungai Limau
13.05.09,1305,IV Koto Aur Malintang
13.05.10,1305,Ulakan Tapakih
13.05.11,1305,Sintuak Toboh Gadang
13.05.12,1305,Padang Sago
13.05.13,1305,Batang Gasan
13.05.14,1305,V Koto Timur
13.05.15,1305,2 x 11 Kayu Tanam
13.05.16,1305,Patamuan
13.05.17,1305,Enam Lingkung
13.06.01,1306,Tanjung Mutiara
13.06.02,1306,Lubuk Basung
13.06.03,1306,Tanjung Raya
13.06.04,1306,Matur
13.06.05,1306,IV Koto
13.06.06,1306,Banuhampu
13.06.07,1306,Ampek Angkek
13.06.08,1306,Baso
13.06.09,1306,Tilatang Kamang
