code,province_code,name
14.71,14,KOTA PEKANBARU
14.72,14,KOTA DUMAI
15.01,15,KABUPATEN KERINCI
15.02,15,KABUPATEN MERANGIN
15.03,15,KABUPATEN SAROLANGUN
15.04,15,KABUPATEN BATANGHARI
15.05,15,KABUPATEN MUARO JAMBI
15.06,15,KABUPATEN TANJUNG JABUNG BARAT
15.07,15,KABUPATEN TANJUNG JABUNG TIMUR
15.08,15,KABUPATEN BUNGO
15.09,15,KABUPATEN TEBO
15.71,15,KOTA JAMBI
15.72,15,KOTA SUNGAI PENUH
16.01,16,KABUPATEN OGAN KOMERING ULU
16.02,16,KABUPATEN OGAN KOMERING ILIR
16.03,16,KABUPATEN MUARA ENIM
16.04,16,KABUPATEN LAHAT
16.05,16,KABUPATEN MUSI RAWAS
16.06,16,KABUPATEN MUSI BANYUASIN
16.07,16,KABUPATEN BANYUASIN
16.08,16,KABUPATEN OGAN KOMERING ULU TIMUR
16.09,16,KABUPATEN OGAN KOMERING ULU SELATAN
16.10,16,KABUPATEN OGAN ILIR
16.11,16,KABUPATEN EMPAT LAWANG
16.12,16,KABUPATEN PENUKAL ABAB LEMATANG ILIR
16.13,16,KABUPATEN MUSI RAWAS UTARA
16.71,16,KOTA PALEMBANG
16.72,16,KOTA PAGAR ALAM
16.73,16,KOTA LUBUK LINGGAU
16.74,16,KOTA PRABUMULIH
17.01,17,KABUPATEN BENGKULU SELATAN
17.02,17,KABUPATEN REJANG LEBONG
17.03,17,KABUPATEN BENGKULU UTARA
17.04,17,KABUPATEN KAUR
17.05,17,KABUPATEN SELUMA
17.06,17,KABUPATEN MUKO MUKO
17.07,17,KABUPATEN LEBONG
17.08,17,KABUPATEN KEPAHIANG
17.09,17,KABUPATEN BENGKULU TENGAH
17.71,17,KOTA BENGKULU
18.01,18,KABUPATEN LAMPUNG SELATAN
18.02,18,KABUPATEN LAMPUNG TENGAH
18.03,18,KABUPATEN LAMPUNG UTARA
18.04,18,KABUPATEN LAMPUNG BARAT
18.05,18,KABUPATEN TULANG BAWANG
18.06,18,KABUPATEN TANGGAMUS
18.07,18,KABUPATEN LAMPUNG TIMUR
18.08,18,KABUPATEN WAY KANAN
18.09,18,KABUPATEN PESAWARAN
18.10,18,KABUPATEN PRINGSEWU
18.11,18,KABUPATEN MESUJI
18.12,18,KABUPATEN TULANG BAWANG BARAT
18.13,18,KABUPATEN PESISIR BARAT
18.71,18,KOTA BANDAR LAMPUNG
18.72,18,KOTA METRO
19.01,19,KABUPATEN BANGKA
19.02,19,KABUPATEN BELITUNG
19.03,19,KABUPATEN BANGKA SELATAN
19.04,19,KABUPATEN BANGKA TENGAH
19.05,19,KABUPATEN BANGKA BARAT
19.06,19,KABUPATEN BELITUNG TIMUR
19.71,19,KOTA PANGKAL PINANG
21.01,21,KABUPATEN BINTAN
21.02,21,KABUPATEN KARIMUN
21.03,21,KABUPATEN NATUNA
21.04,21,KABUPATEN LINGGA
21.05,21,KABUPATEN KEPULAUAN ANAMBAS
21.71,21,KOTA BATAM
21.72,21,KOTA TANJUNG PINANG
31.01,31,KABUPATEN ADMINISTRASI KEPULAUAN SERIBU
31.71,31,KOTA ADMINISTRASI JAKARTA PUSAT
31.72,31,KOTA ADMINISTRASI JAKARTA UTARA
31.73,31,KOTA ADMINISTRASI JAKARTA BARAT
31.74,31,KOTA ADMINISTRASI JAKARTA SELATAN
31.75,31,KOTA ADMINISTRASI JAKARTA TIMUR
32.01,32,KABUPATEN BOGOR
32.02,32,KABUPATEN SUKABUMI
32.03,32,KABUPATEN CIANJUR
32.04,32,KABUPATEN BANDUNG
32.05,32,KABUPATEN GARUT
32.06,32,KABUPATEN TASIKMALAYA
32.07,32,KABUPATEN CIAMIS
32.08,32,KABUPATEN KUNINGAN
32.09,32,KABUPATEN CIREBON
32.10,32,KABUPATEN MAJALENGKA
32.11,32,KABUPATEN SUMEDANG
32.12,32,KABUPATEN INDRAMAYU
32.13,32,KABUPATEN SUBANG
32.14,32,KABUPATEN PURWAKARTA
32.15,32,KABUPATEN KARAWANG
32.16,32,KABUPATEN BEKASI
32.17,32,KABUPATEN BANDUNG BARAT
32.18,32,KABUPATEN PANGANDARAN
32.71,32,KOTA BOGOR
32.72,32,KOTA SUKABUMI
32.73,32,KOTA BANDUNG
32.74,32,KOTA CIREBON
32.75,32,KOTA BEKASI
32.76,32,KOTA DEPOK
32.77,32,KOTA CIMAHI
32.78,32,KOTA TASIKMALAYA
32.79,32,KOTA BANJAR
33.01,33,KABUPATEN CILACAP
33.02,33,KABUPATEN BANYUMAS
33.03,33,KABUPATEN PURBALINGGA
33.04,33,KABUPATEN BANJARNEGARA
33.05,33,KABUPATEN KEBUMEN
33.06,33,KABUPATEN PURWOREJO
33.07,33,KABUPATEN WONOSOBO
33.08,33,KABUPATEN MAGELANG
33.09,33,KABUPATEN BOYOLALI
33.10,33,KABUPATEN KLATEN
33.11,33,KABUPATEN SUKOHARJO
33.12,33,KABUPATEN WONOGIRI
33.13,33,KABUPATEN KARANGANYAR
33.14,33,KABUPATEN SRAGEN
33.15,33,KABUPATEN GROBOGAN
33.16,33,KABUPATEN BLORA
33.17,33,KABUPATEN REMBANG
33.18,33,KABUPATEN PATI
33.19,33,KABUPATEN KUDUS
33.20,33,KABUPATEN JEPARA
33.21,33,KABUPATEN DEMAK
33.22,33,KABUPATEN SEMARANG
33.23,33,KABUPATEN TEMANGGUNG
33.24,33,KABUPATEN KENDAL
33.25,33,KABUPATEN BATANG
33.26,33,KABUPATEN PEKALONGAN
33.27,33,KABUPATEN PEMALANG
33.28,33,KABUPATEN TEGAL
33.29,33,KABUPATEN BREBES
33.71,33,KOTA MAGELANG
33.72,33,KOTA SURAKARTA
33.73,33,KOTA SALATIGA
33.74,33,KOTA SEMARANG
33.75,33,KOTA PEKALONGAN
33.76,33,KOTA TEGAL
34.01,34,KABUPATEN KULON PROGO
34.02,34,KABUPATEN BANTUL
34.03,34,KABUPATEN GUNUNGKIDUL
34.04,34,KABUPATEN SLEMAN
34.71,34,KOTA YOGYAKARTA
35.01,35,KABUPATEN PACITAN
35.02,35,KABUPATEN PONOROGO
35.03,35,KABUPATEN TRENGGALEK
35.04,35,KABUPATEN TULUNGAGUNG
35.05,35,KABUPATEN BLITAR
35.06,35,KABUPATEN KEDIRI
35.07,35,KABUPATEN MALANG
35.08,35,KABUPATEN LUMAJANG
35.09,35,KABUPATEN JEMBER
35.10,35,KABUPATEN BANYUWANGI
35.11,35,KABUPATEN BONDOWOSO
35.12,35,KABUPATEN SITUBONDO
35.13,35,KABUPATEN PROBOLINGGO
35.14,35,KABUPATEN PASURUAN
35.15,35,KABUPATEN SIDOARJO
35.16,35,KABUPATEN MOJOKERTO
35.17,35,KABUPATEN JOMBANG
35.18,35,KABUPATEN NGANJUK
35.19,35,KABUPATEN MADIUN
35.20,35,KABUPATEN MAGETAN
35.21,35,KABUPATEN NGAWI
35.22,35,KABUPATEN BOJONEGORO
35.23,35,KABUPATEN TUBAN
35.24,35,KABUPATEN LAMONGAN
35.25,35,KABUPATEN GRESIK
35.26,35,KABUPATEN BANGKALAN
35.27,35,KABUPATEN SAMPANG
35.28,35,KABUPATEN PAMEKASAN
35.29,35,KABUPATEN SUMENEP
35.71,35,KOTA KEDIRI
35.72,35,KOTA BLITAR
35.73,35,KOTA MALANG
35.74,35,KOTA PROBOLINGGO
35.75,35,KOTA PASURUAN
35.76,35,KOTA MOJOKERTO
35.77,35,KOTA MADIUN
35.78,35,KOTA SURABAYA
35.79,35,KOTA BATU
36.01,36,KABUPATEN PANDEGLANG
36.02,36,KABUPATEN LEBAK
36.03,36,KABUPATEN TANGERANG
36.04,36,KABUPATEN SERANG
36.71,36,KOTA TANGERANG
36.72,36,KOTA CILEGON
36.73,36,KOTA SERANG
36.74,36,KOTA TANGERANG SELATAN
51.01,51,KABUPATEN JEMBRANA
51.02,51,KABUPATEN TABANAN
51.03,51,KABUPATEN BADUNG
51.04,51,KABUPATEN GIANYAR
51.05,51,KABUPATEN KLUNGKUNG
51.06,51,KABUPATEN BANGLI
51.07,51,KABUPATEN KARANGASEM
51.08,51,KABUPATEN BULELENG
51.71,51,KOTA DENPASAR
52.01,52,KABUPATEN LOMBOK BARAT
52.02,52,KABUPATEN LOMBOK TENGAH
52.03,52,KABUPATEN LOMBOK TIMUR
52.04,52,KABUPATEN SUMBAWA
52.05,52,KABUPATEN DOMPU
52.06,52,KABUPATEN BIMA
52.07,52,KABUPATEN SUMBAWA BARAT
52.08,52,KABUPATEN LOMBOK UTARA
52.71,52,KOTA MATARAM
52.72,52,KOTA BIMA
53.01,53,KABUPATEN KUPANG
53.02,53,KABUPATEN TIMOR TENGAH SELATAN
53.03,53,KABUPATEN TIMOR TENGAH UTARA
53.04,53,KABUPATEN BELU
53.05,53,KABUPATEN ALOR
53.06,53,KABUPATEN FLORES TIMUR
53.07,53,KABUPATEN SIKKA
53.08,53,KABUPATEN ENDE
53.09,53,KABUPATEN NGADA
53.10,53,KABUPATEN MANGGARAI
53.11,53,KABUPATEN SUMBA TIMUR
53.12,53,KABUPATEN SUMBA BARAT
53.13,53,KABUPATEN LEMBATA
53.14,53,KABUPATEN ROTE NDAO
53.15,53,KABUPATEN MANGGARAI BARAT
53.16,53,KABUPATEN NAGEKEO
53.17,53,KABUPATEN SUMBA TENGAH
53.18,53,KABUPATEN SUMBA BARAT DAYA
53.19,53,KABUPATEN MANGGARAI TIMUR
53.20,53,KABUPATEN SABU RAIJUA
53.21,53,KABUPATEN MALAKA
53.71,53,KOTA KUPANG
61.01,61,KABUPATEN SAMBAS
61.02,61,KABUPATEN MEMPAWAH
61.03,61,KABUPATEN SANGGAU
61.04,61,KABUPATEN KETAPANG
61.05,61,KABUPATEN SINTANG
61.06,61,KABUPATEN KAPUAS HULU
61.07,61,KABUPATEN BENGKAYANG
61.08,61,KABUPATEN LANDAK
61.09,61,KABUPATEN SEKADAU
61.10,61,KABUPATEN MELAWI
61.11,61,KABUPATEN KAYONG UTARA
61.12,61,KABUPATEN KUBU RAYA
61.71,61,KOTA PONTIANAK
61.72,61,KOTA SINGKAWANG
62.01,62,KABUPATEN KOTAWARINGIN BARAT
62.02,62,KABUPATEN KOTAWARINGIN TIMUR
62.03,62,KABUPATEN KAPUAS
62.04,62,KABUPATEN BARITO SELATAN
62.05,62,KABUPATEN BARITO UTARA
62.06,62,KABUPATEN KATINGAN
62.07,62,KABUPATEN SERUYAN
62.08,62,KABUPATEN SUKAMARA
62.09,62,KABUPATEN LAMANDAU
62.10,62,KABUPATEN GUNUNG MAS
62.11,62,KABUPATEN PULANG PISAU
62.12,62,KABUPATEN MURUNG RAYA
62.13,62,KABUPATEN BARITO TIMUR
62.71,62,KOTA PALANGKARAYA
63.01,63,KABUPATEN TANAH LAUT
63.02,63,KABUPATEN KOTABARU
63.03,63,KABUPATEN BANJAR
63.04,63,KABUPATEN BARITO KUALA
63.05,63,KABUPATEN TAPIN
63.06,63,KABUPATEN HULU SUNGAI SELATAN
63.07,63,KABUPATEN HULU SUNGAI TENGAH
63.08,63,KABUPATEN HULU SUNGAI UTARA
63.09,63,KABUPATEN TABALONG
63.10,63,KABUPATEN TANAH BUMBU
63.11,63,KABUPATEN BALANGAN
63.71,63,KOTA BANJARMASIN
63.72,63,KOTA BANJARBARU
64.01,64,KABUPATEN PASER
64.02,64,KABUPATEN KUTAI KARTANEGARA
64.03,64,KABUPATEN BERAU
64.07,64,KABUPATEN KUTAI BARAT
64.08,64,KABUPATEN KUTAI TIMUR
64.09,64,KABUPATEN PENAJAM PASER UTARA
64.11,64,KABUPATEN MAHAKAM ULU
64.71,64,KOTA BALIKPAPAN
64.72,64,KOTA SAMARINDA
64.74,64,KOTA BONTANG
65.01,65,KABUPATEN BULUNGAN
65.02,65,KABUPATEN MALINAU
65.03,65,KABUPATEN NUNUKAN
65.04,65,KABUPATEN TANA TIDUNG
65.71,65,KOTA TARAKAN
71.01,71,KABUPATEN BOLAANG MONGONDOW
71.02,71,KABUPATEN MINAHASA
71.03,71,KABUPATEN KEPULAUAN SANGIHE
71.04,71,KABUPATEN KEPULAUAN TALAUD
71.05,71,KABUPATEN MINAHASA SELATAN
71.06,71,KABUPATEN MINAHASA UTARA
71.07,71,KABUPATEN MINAHASA TENGGARA
71.08,71,KABUPATEN BOLAANG MONGONDOW UTARA
71.09,71,KABUPATEN KEPULAUAN SIAU TAGULANDANG BIARO
71.10,71,KABUPATEN BOLAANG MONGONDOW TIMUR
71.11,71,KABUPATEN BOLAANG MONGONDOW SELATAN
71.71,71,KOTA MANADO
71.72,71,KOTA BITUNG
71.73,71,KOTA TOMOHON
71.74,71,KOTA KOTAMOBAGU
72.01,72,KABUPATEN BANGGAI
72.02,72,KABUPATEN POSO
72.03,72,KABUPATEN DONGGALA
72.04,72,KABUPATEN TOLI TOLI
72.05,72,KABUPATEN BUOL
72.06,72,KABUPATEN MOROWALI
72.07,72,KABUPATEN BANGGAI KEPULAUAN
72.08,72,KABUPATEN PARIGI MOUTONG
72.09,72,KABUPATEN TOJO UNA UNA
72.10,72,KABUPATEN SIGI
72.11,72,KABUPATEN BANGGAI LAUT
72.12,72,KABUPATEN MOROWALI UTARA
72.71,72,KOTA PALU
73.01,73,KABUPATEN KEPULAUAN SELAYAR
73.02,73,KABUPATEN BULUKUMBA
73.03,73,KABUPATEN BANTAENG
73.04,73,KABUPATEN JENEPONTO
73.05,73,KABUPATEN TAKALAR
73.06,73,KABUPATEN GOWA
73.07,73,KABUPATEN SINJAI
73.08,73,KABUPATEN BONE
73.09,73,KABUPATEN MAROS
73.10,73,KABUPATEN PANGKAJENE DAN KEPULAUAN
73.11,73,KABUPATEN BARRU
73.12,73,KABUPATEN SOPPENG
73.13,73,KABUPATEN WAJO
73.14,73,KABUPATEN SIDENRENG RAPPANG
73.15,73,KABUPATEN PINRANG
73.16,73,KABUPATEN ENREKANG
73.17,73,KABUPATEN LUWU
73.18,73,KABUPATEN TANA TORAJA
73.22,73,KABUPATEN LUWU UTARA
73.24,73,KABUPATEN LUWU TIMUR
73.26,73,KABUPATEN TORAJA UTARA
73.71,73,KOTA MAKASSAR
73.72,73,KOTA PAREPARE
73.73,73,KOTA PALOPO
74.01,74,KABUPATEN KOLAKA
74.02,74,KABUPATEN KONAWE
74.03,74,KABUPATEN MUNA
74.04,74,KABUPATEN BUTON
74.05,74,KABUPATEN KONAWE SELATAN
74.06,74,KABUPATEN BOMBANA
74.07,74,KABUPATEN WAKATOBI
74.08,74,KABUPATEN KOLAKA UTARA
74.09,74,KABUPATEN KONAWE UTARA
74.10,74,KABUPATEN BUTON UTARA
74.11,74,KABUPATEN KOLAKA TIMUR
74.12,74,KABUPATEN KONAWE KEPULAUAN
74.13,74,KABUPATEN MUNA BARAT
74.14,74,KABUPATEN BUTON TENGAH
74.15,74,KABUPATEN BUTON SELATAN
74.71,74,KOTA KENDARI
74.72,74,KOTA BAU BAU
75.01,75,KABUPATEN GORONTALO
75.02,75,KABUPATEN BOALEMO
75.03,75,KABUPATEN BONE BOLANGO
75.04,75,KABUPATEN POHUWATO
75.05,75,KABUPATEN GORONTALO UTARA
75.71,75,KOTA GORONTALO
76.01,76,KABUPATEN PASANGKAYU
76.02,76,KABUPATEN MAMUJU
76.03,76,KABUPATEN MAMASA
76.04,76,KABUPATEN POLEWALI MANDAR
76.05,76,KABUPATEN MAJENE
76.06,76,KABUPATEN MAMUJU TENGAH
81.01,81,KABUPATEN MALUKU TENGAH
81.02,81,KABUPATEN MALUKU TENGGARA
81.03,81,KABUPATEN KEPULAUAN TANIMBAR
81.04,81,KABUPATEN BURU
81.05,81,KABUPATEN SERAM BAGIAN TIMUR
81.06,81,KABUPATEN SERAM BAGIAN BARAT
81.07,81,KABUPATEN KEPULAUAN ARU
81.08,81,KABUPATEN MALUKU BARAT DAYA
81.09,81,KABUPATEN BURU SELATAN
81.71,81,KOTA AMBON
81.72,81,KOTA TUAL
82.01,82,KABUPATEN HALMAHERA BARAT
82.02,82,KABUPATEN HALMAHERA TENGAH
82.03,82,KABUPATEN HALMAHERA UTARA
82.04,82,KABUPATEN HALMAHERA SELATAN
82.05,82,KABUPATEN KEPULAUAN SULA
82.06,82,KABUPATEN HALMAHERA TIMUR
82.07,82,KABUPATEN PULAU MOROTAI
82.08,82,KABUPATEN PULAU TALIABU
82.71,82,KOTA TERNATE
82.72,82,KOTA TIDORE KEPULAUAN
91.03,91,KABUPATEN JAYAPURA
91.05,91,KABUPATEN KEPULAUAN YAPEN
91.06,91,KABUPATEN BIAK NUMFOR
91.10,91,KABUPATEN SARMI
91.11,91,KABUPATEN KEEROM
91.15,91,KABUPATEN WAROPEN
91.19,91,KABUPATEN SUPIORI
91.20,91,KABUPATEN MAMBERAMO RAYA
91.71,91,KOTA JAYAPURA
92.02,92,KABUPATEN MANOKWARI
92.03,92,KABUPATEN FAK FAK
92.06,92,KABUPATEN TELUK BINTUNI
92.07,92,KABUPATEN TELUK WONDAMA
92.08,92,KABUPATEN KAIMANA
92.11,92,KABUPATEN MANOKWARI SELATAN
92.12,92,KABUPATEN PEGUNUNGAN ARFAK
93.01,93,KABUPATEN MERAUKE
93.02,93,KABUPATEN BOVEN DIGOEL
93.03,93,KABUPATEN MAPPI
93.04,93,KABUPATEN ASMAT
94.01,94,KABUPATEN NABIRE
94.02,94,KABUPATEN PUNCAK JAYA
94.03,94,KABUPATEN PANIAI
94.04,94,KABUPATEN MIMIKA
94.05,94,KABUPATEN PUNCAK
94.06,94,KABUPATEN DOGIYAI
94.07,94,KABUPATEN INTAN JAYA
94.08,94,KABUPATEN DEIYAI
95.01,95,KABUPATEN JAYAWIJAYA
95.02,95,KABUPATEN PEGUNUNGAN BINTANG
95.03,95,KABUPATEN YAHUKIMO
95.04,95,KABUPATEN TOLIKARA
95.05,95,KABUPATEN MAMBERAMO TENGAH
95.06,95,KABUPATEN YALIMO
95.07,95,KABUPATEN LANNY JAYA
95.08,95,KABUPATEN NDUGA
96.01,96,KABUPATEN SORONG
96.02,96,KABUPATEN SORONG SELATAN
96.03,96,KABUPATEN RAJA AMPAT
96.04,96,KABUPATEN TAMBRAUW
96.05,96,KABUPATEN MAYBRAT
96.71,96,KOTA SORONG
